anio;categoria;fase;ronda;nivel;zona;grupo;jornada;fecha;local;ptsL;visitante;ptsV
2019;JUVENILES;FINAL FOUR;FINAL;2;INTERCONFERENCIA;NAUTICO BUCHARDO A-DEFENSORES DE BANFIELD;1;;NAUTICO BUCHARDO A;76;DEFENSORES DE BANFIELD;64
2019;JUVENILES;FINAL FOUR;FINAL;1;INTERCONFERENCIA;SAN LORENZO AZUL-RACING CLUB;1;;SAN LORENZO AZUL;66;RACING CLUB;56
2019;JUVENILES;FINAL FOUR;SEMIFINAL;2;INTERCONFERENCIA;ALL BOYS BLANCO-NAUTICO BUCHARDO A;1;;ALL BOYS BLANCO;73;NAUTICO BUCHARDO A;80
2019;JUVENILES;FINAL FOUR;SEMIFINAL;2;INTERCONFERENCIA;DEP. MORON BLANCO-DEFENSORES DE BANFIELD;1;;DEP. MORON BLANCO;61;DEFENSORES DE BANFIELD;67
2019;JUVENILES;FINAL FOUR;SEMIFINAL;1;INTERCONFERENCIA;SAN LORENZO AZUL-PLATENSE MARRON;1;;SAN LORENZO AZUL;79;PLATENSE MARRON;68
2019;JUVENILES;FINAL FOUR;SEMIFINAL;1;INTERCONFERENCIA;RACING CLUB-RAMOS MEJIA LTC;1;;RACING CLUB;69;RAMOS MEJIA LTC;63
2019;JUVENILES;Playoff;Final;INTERCONFERENCIA;INTERCONFERENCIA;OBRAS CENTRO-BOCA JUNIORS AZUL;1;;OBRAS CENTRO;82;BOCA JUNIORS AZUL;81
2019;JUVENILES;Playoff;Final;1;SUR;DEFENSORES DE BANFIELD-BOCA JUNIORS AMARILLO;1;;DEFENSORES DE BANFIELD;63;BOCA JUNIORS AMARILLO;61
2019;JUVENILES;Playoff;Final;1;OESTE;DEP. MORON BLANCO-HURACAN DE SAN JUSTO BLANCO;1;;DEP. MORON BLANCO;68;HURACAN DE SAN JUSTO BLANCO;60
2019;JUVENILES;Playoff;Final;1;NORTE;UNIVERSIDAD DE BUENOS AIRES-NAUTICO BUCHARDO A;1;;UNIVERSIDAD DE BUENOS AIRES;60;NAUTICO BUCHARDO A;66
2019;JUVENILES;Playoff;Final;1;CENTRO;FERROCARRIL OESTE B-ALL BOYS BLANCO;1;;FERROCARRIL OESTE B;60;ALL BOYS BLANCO;65
2019;JUVENILES;Playoff;Final;1;SUR;RACING CLUB-TEMPERLEY;1;;RACING CLUB;79;TEMPERLEY;64
2019;JUVENILES;Playoff;Final;1;NORTE;CAZA Y PESCA A-PLATENSE MARRON;1;;CAZA Y PESCA A;69;PLATENSE MARRON;73
2019;JUVENILES;Playoff;Final;1;CENTRO;"SAN LORENZO AZUL-DEPORTIVO CROVARA  ""A""";1;;SAN LORENZO AZUL;84;"DEPORTIVO CROVARA  ""A""";48
2019;JUVENILES;Playoff;Final;1;OESTE;RAMOS MEJIA LTC-C.A.S.A PADUA A;1;;RAMOS MEJIA LTC;63;C.A.S.A PADUA A;57
2019;JUVENILES;Playoff;Semifinal;INTERCONFERENCIA;INTERCONFERENCIA;OBRAS CENTRO-FERROCARRIL OESTE A;1;;OBRAS CENTRO;86;FERROCARRIL OESTE A;61
2019;JUVENILES;Playoff;Semifinal;INTERCONFERENCIA;INTERCONFERENCIA;BOCA JUNIORS AZUL-LANUS A;1;;BOCA JUNIORS AZUL;78;LANUS A;74
2019;JUVENILES;Playoff;Semifinal;2;SUR;DEFENSORES DE BANFIELD-OLIMPO;1;;DEFENSORES DE BANFIELD;75;OLIMPO;68
2019;JUVENILES;Playoff;Semifinal;2;SUR;BOCA JUNIORS AMARILLO-INSTITUTO GLEW;1;;BOCA JUNIORS AMARILLO;81;INSTITUTO GLEW;45
2019;JUVENILES;Playoff;Semifinal;2;OESTE;DEP. MORON BLANCO-CENTRO ESPAÑOL;1;;DEP. MORON BLANCO;71;CENTRO ESPAÑOL;56
2019;JUVENILES;Playoff;Semifinal;2;OESTE;HURACAN DE SAN JUSTO BLANCO-ARGENTINO DE CASTELAR CENTRO;1;;HURACAN DE SAN JUSTO BLANCO;70;ARGENTINO DE CASTELAR CENTRO;57
2019;JUVENILES;Playoff;Semifinal;2;CENTRO;FERROCARRIL OESTE B-COLEGIALES NEGRO;1;;FERROCARRIL OESTE B;51;COLEGIALES NEGRO;47
2019;JUVENILES;Playoff;Semifinal;2;CENTRO;ALL BOYS BLANCO-ARMENIA;1;;ALL BOYS BLANCO;69;ARMENIA;65
2019;JUVENILES;Playoff;Semifinal;2;NORTE;UNIVERSIDAD DE BUENOS AIRES-CAZA Y PESCA B;1;;UNIVERSIDAD DE BUENOS AIRES;113;CAZA Y PESCA B;58
